authority_id,code,phone,fax,email,covid19hotline,covid19e_mail,covid19fax,aussteige_hotline,aussteige_e_mail,aussteige_fax
59,1.07.0.71.,06131 69333-0,06131 69333-4298,hildebrandt.romy@mainz-bingen.de,,,,,,
60,1.07.0.73.,02602 124-710,02602 124-701,,0 2602 124-567,Gesundheitsamt@westerwaldkreis.de,,,reiserueckkehrer@westerwaldkreis.de,
61,1.07.0.74.,06322 961-7302,06322 961-7320,Gesundheitsamt@kreis-bad-duerkheim.de,,,,,,
62,1.07.0.75.,02631 803-723,02631 803-737,IfSG.Meldungen@kreis-neuwied.de,,infektionsschutz@kreis-neuwied.de,,,reiserueckkehrer@kreis-neuwied.de,
63,1.07.0.76.,06331 809-402,06331 809-303,gesundheitswesen@lksuedwestpfalz.de,,,,,,
64,1.07.0.80.,06761 82-701,06761 82-777,gesundheitsamt@rheinhunsrueck.de,,virushotline@rheinhunsrueck.de,,,,
65,1.07.0.82.,0651 715-500,0651 715-17904,kv@trier-saarburg.de,,,,,,
66,1.07.0.83.,06571 14-0,06571 14-2503,gesundheitsamt@Bernkastel-Wittlich.de,,,,,,
67,1.07.0.84.,06731 408-7038,06731 408 87039,gesundheitsamt@alzey-worms.de,,,,,,
68,1.07.1.32.,02681 8127-40,02681 8127-00,gesundheitsamt@kreis-ak.de,,,,,,
69,1.08.1.11.,+49 0711 216-59309,+49 711 216 59318,gesundheitsamt@stuttgart.de,,infektionsschutz@stuttgart.de,+49 711 216 9510328,,,
70,1.08.1.15.,07031 663-1740,07031 663-1754,gesundheitsamt@lrabb.de,,,,,,
71,1.08.1.16.,0711 3902 41600,0711 3902 51600,gesundheitsamt@lra-es.de,,,,,,
72,1.08.1.17.,+49 7161 202-5370,+49 7161 202-5390,gesundheitsamt@lkgp.de,,,,,,
73,1.08.1.18.,+49 7141 144-2020,+49 7141 144-59501,gesundheit.verbraucherschutz@landkreis-ludwigsburg.de,,,,+49 7171 144-2022,gesundheitsschutz@landkreis-ludwigsburg.de,+49 7141 144-59501
74,1.08.1.19.,+49 7151 501-1608,+49 7151 501-1634,gesundheit@rems-murr-kreis.de,,,,,,
75,1.08.1.21.,+49 7131 56-3540,+49 7131 56-3539,gesundheitsamt@heilbronn.de,,,,,,
76,1.08.1.25.,07131 994-100,07131 994-174,Gesundheitsamt@landratsamt-heilbronn.de,07131 994-8050,,,,,
77,1.08.1.26.,07940 18 580,07940 18-571,gesuamt@hohenlohekreis.de,07940 18 888,,,,,
78,1.08.1.27.,+49 791 755 6210,+49 791 755 96211,gesundheitsamt@LRASHA.de,,,,,,
79,1.08.1.28.,09341 82-5579,09341 828-5560,gesundheitsamt@main-tauber-kreis.de,,,,,,
80,1.08.1.35.,+49 7321 321 2600,+49 7321 321 552660,gesundheitsamt@landkreis-heidenheim.de,,,,,,
81,1.08.1.36.,07361 503-1120,07361 503-1155,gesundheit@ostalbkreis.de,,,,,,
82,1.08.2.15.,+49 721 936 81940,+49 721 936 82 999,Gesundheitsamt@landratsamt-karlsruhe.de,,,,,reiserueckkehrer@landratsamt-karlsruhe.de,0721 936 82999
83,1.08.2.16.,07222 381-2300,07222 381-2398,Amt23@Landkreis-Rastatt.de,,,,,,
84,1.08.2.22.,,0621 293-2288,,0621 2932222,gesundheitsamt@mannheim.de,,,,
85,1.08.2.25.,+49 6261 84 2446,+49 6261 84 4748,Gesundheitsamt@neckar-odenwald-kreis.de,,,,,,
86,1.08.2.26.,+49 6221 522-1817,+49 6221 522-1899,infektionsschutz@rhein-neckar-kreis.de,,,06221/522 91860,,Einreise@rhein-neckar-kreis.de,
87,1.08.2.35.,07051 160-931,07051   160-949,13.info@kreis-calw.de,,,,,,
88,1.08.2.36.,+49 7231 308 9732,+49 7231 308-9400,gesundheitsamt@enzkreis.de,,,,,,
89,1.08.2.37.,07441 920-4107,07441 920-4199,gafds@kreis-fds.de,,,,,,
90,1.08.3.15.,+49 761 2187-3212,+49 761 2187-3299,gesundheitsschutz@lkbh.de,+49 761 2187-3003,reiserueckkehrer@lkbh.de,,,,0761 2187 773296
91,1.08.3.16.,07641 451-4300,07641 451-4355,hygiene@landkreis-emmendingen.de,,,,,,
92,1.08.3.17.,0781 805-9700,0781 805 1143,gesundheitsamt@ortenaukreis.de,0781 805 9695,,,,,
93,1.08.3.25.,0741 17445-0,0741 17445-50,garw@landkreis-rottweil.de,,,,,,
94,1.08.3.26.,07721 913-7190,07721 913-8918,Gesundheitsamt@lrasbk.de,,,,,,
95,1.08.3.27.,07461 926-4204,07461 926-4286,gesundheitsamt@landkreis-tuttlingen.de,,,,,,
96,1.08.3.35.,07531 8002610,07531 8002688,gesundheitsamt@LRAKN.de,,,,,Corona.Gesundheitsamt@LRAKN.de,07531 800 2490
97,1.08.3.36.,+49 7621 410-2101,+49 7621 410-2199,gesundheit@loerrach-landkreis.de,,,,,,
98,1.08.3.37.,07751 86-5101,07751 86-5199,gesundheitsamt@landkreis-waldshut.de,,,,,,
99,1.08.4.15.,+49 7121 480-4310,+49 7121 480-1818,gesundheitsamt@kreis-reutlingen.de,+49 7121 480-4399,pandemie@kreis-reutlingen.de,,,,+49 7121 480-1872
100,1.08.4.16.,07071 2073330,07071 207-3331,ifsg@kreis-tuebingen.de,07071 207 3600,covid19@kreis-tuebingen.de,,,aussteigerkarten@kreis-tuebingen.de,
101,1.08.4.17.,07471 9309-1568,07471 9309-1669,gesundheitsamt@zollernalbkreis.de,,,,,,
102,1.08.4.25.,0731 185-1730,0731 185-1738,Gesundheitsamt@alb-donau-kreis.de,,,,,,
103,1.08.4.26.,07351 52-6151,07351 52-5352,kreisgesundheitsamt@biberach.de,,,,,,
104,1.08.4.35.,07541 204-5841,07541 204-8806,gesundheitsamt@bodenseekreis.de,,,,,,
105,1.08.4.36.,0751 85-5311,0751 85-5306,ges@landkreis-ravensburg.de,,,,,,
106,1.08.4.37.,07571 102-6401,07571 102-6499,post.gesundheit@lrasig.de,,,,,,
107,1.09.1.61.,0841 305-1461,0841 305-1469,Gesundheitsamt@ingolstadt.de,,,,,,
108,1.09.1.62.,089 233-96300,089 233-47814,gs-is-mw.rgu@muenchen.de,,,,,,
109,1.09.1.71.,+49 8671 502-900,+49 8671 502-930,Gesundheitsamt.aoe@lra-aoe.de,,,,,,
110,1.09.1.72.,08651 773-801,08651 773-820,gesundheitsamt@lra-bgl.de,,,,,,
111,1.09.1.73.02.,08041 505-483,08041 505-132,G-Amt@lra-toelz.de,,,,,,
112,1.09.1.74.,08131 74-1413,08131  74 11713,Gesundheitsamt@lra-dah.bayern.de,,,,,,
113,1.09.1.75.,+49 8092 823-383,+49 8092 823-390,Gesundheitsamt@lra-ebe.bayern.de,,,,,,
114,1.09.1.76.,08421 70-0,08421-70532,gesundheitswesen@lra-ei.bayern.de,,,,,,
115,1.09.1.77.,+49 8122 58 1430,+49 8122 58 1431,gesundheitsamt@lra-ed.de,,,,,,
116,1.09.1.78.,08161 5374-300,08161 5374-399,gesundheitsamt@kreis-fs.de,,,,,,
117,1.09.1.79.,08141 519-800,08141 519-880,gesundheitsamt@lra-ffb.de,,,,,,
118,1.09.1.80.,08821 751-500,08821 751 8406,Gesundheitsamt@lra-gap.de,,,,,,
119,1.09.1.81.,08191 129-1291,08191 129-5205,Gesundheitsamt@LRA-LL.bayern.de,,,,,,
120,1.09.1.82.,08025 704-4300,08025 704-74300,Gesundheitsamt@lra-mb.bayern.de,,,,,,
121,1.09.1.83.,08631 699509,08631 699 533,Gesundheitsamt@lra-mue.de,,,,,,
122,1.09.1.84.,089 6221-1000,089 6221-1164,Gesundheitswesen@lra-m.bayern.de,,,,,,
123,1.09.1.85.01.,08431 57500,08431 57519,gesundheitsamt@lra-nd-sob.de,,,,,,
124,1.09.1.86.,08441 27-1400,08441 27-1420,gesundheitsamt@landratsamt-paf.de,,,,,,
125,1.09.1.87.,08031 392-6002,08031 392-9060,gesundheitsamt@lra-rosenheim.de,,,,,,
126,1.09.1.88.,08151 148-900,08151 148-999,gesundheitsamt@lra-starnberg.de,,,,,,
127,1.09.1.89.,0861/58-147,0861 58-9150,gesundheitsamt@traunstein.bayern,,,,,,
128,1.09.1.90.,0881 681-1600,0881 681 2699,gesundheitsamt@lra-wm.bayern.de,,,,,,
129,1.09.2.71.,0991 3100-150,0991 3100-160,gesundheitsamt@lra-deg.bayern.de,+49 991 3100 477,corona@lra-deg.bayern.de,+49 991 3100 414 77,,,
130,1.09.2.72.,08551 57-400,08551 57-419,gesundheitsamt@landkreis-frg.de,,,,,,
131,1.09.2.73.,09441 207-6015,09441 207-6050,gesundheitsabteilung@landkreis-kelheim.de,,,,,,
132,1.09.2.74.,0871 408-5000,0871 408-1002,gesundheit@landkreis-landshut.de,,,,,,
133,1.09.2.75.,+49 851 397-800,+ 49 851 397 90801,gesundheitsamt@landkreis-passau.de,,,,,,
134,1.09.2.76.,+49 9921 601-420,+49 9921 97002450,Gesundheitswesen@lra.landkreis-regen.de,,,,,,
135,1.09.2.77.,+49 8561 20 419,+49 8561 20 436,gesundheitsamt@rottal-inn.de,,,,,,
136,1.09.2.78.,"09421 973-360,",09421 973-411,gesundheitsamt@landkreis-straubing-bogen.de,,,,,,
137,1.09.2.79.,08731 87 245,08731 87725,gesundheitsamt@landkreis-dingolfing-landau.de,,,,,,
138,1.09.3.61.01.,09621 39 669,09621 37605 366,gesundheitsamt@amberg-sulzbach.de,,,,,,
139,1.09.3.72.,09971 78-450,09971 78-466,gesundheitsamt@lra.landkreis-cham.de,,,,,,
140,1.09.3.73.,09181 470-512,09181 470-500,gesundheitsamt@landkreis-neumarkt.de,,,,,,
141,1.09.3.74.,09602 79-6000,09602 79-6055,gesundheitsamt@neustadt.de,,,,,,
142,1.09.3.75.,0941 4009-0,0941 4009-764,gesundheitsamt@landratsamt-regensburg.de,,,,,,
143,1.09.3.76.01.,09431 471 600,09431 471 634,gesundheitsamt@landkreis-schwandorf.de,,,,,,
144,1.09.3.77.,09631 7076-0,09631 7076-20,Gesundheitsamt@tirschenreuth.de,,,,,,
145,1.09.4.71.,0951 85-651,0951 85-699,gesundheitsamt@lra-ba.bayern.de,,,,,,
146,1.09.4.72.,0921 728-227,0921 728 88 227,renate.rieger@lra-bt.bayern.de,,,,,,
147,1.09.4.73.,09561 514-3201,09561 514-3299,gesundheitsamt@landkreis-coburg.de,,,,,,
148,1.09.4.74.,09191 86-3504,09191 86-3508,Gesundheitsamt@lra-fo.de,,,,,,
149,1.09.4.75.,09281 721-0,09281 16873,gesundheit@landkreis-hof.de,,,,,,
150,1.09.4.76.,09261 678-227,09261 678-415,gesundheitsamt@lra-kc.bayern.de,,,,,,
151,1.09.4.77.,+49 9221 707 600,+49 9221 707 606,hygiene@landkreis-kulmbach.de,,,,,,
152,1.09.4.78.,09571 18-556,09571 18-500,gesundheitswesen@landkreis-lichtenfels.de,,,,,,
153,1.09.4.79.,09232 80–107,09232 809–107,gesundheitswesen@landkreis-wunsiedel.de,,,,,,
154,1.09.5.61.,+49 981 468-7003,+49 981 468-7019,Gesundheitsamt@landratsamt-ansbach.de,,,,,,
155,1.09.5.64.,+49 911 231-0,+49 911 231-4660,gh-v-inf@stadt.nuernberg.de,,,,,,
156,1.09.5.72.01.,+49 9131 803-2200,+49 9131 803-492200,gesundheitsamt@erlangen-hoechstadt.de,,,,,,
157,1.09.5.73.,0911 9773-1806,0911 9773-1803,gesundheitsamt@lra-fue.bayern.de,,,,,,
158,1.09.5.74.,09123 950-6550,09123 950-8024,Gesundheitsamt@nuernberger-land.de,,,,,,
159,1.09.5.75.,09161 92-5305,09161 92-90500,Gesundheitsamt@kreis-nea.de,,,,,,
160,1.09.5.76.,+49 9171 81-1601,+49 9171 81971601,Gesundheitsamt@Landratsamt-Roth.de,,,,,,
161,1.09.5.77.,09141 902-401,09141 902-419,Gesundheitsamt.Lra@Landkreis-WUG.de,,,,,,
162,1.09.6.71.,06021 394 100,06021 394-980,gesundheitsamt@lra-ab.bayern.de,,,,,,
163,1.09.6.72.,+49 971 7165-0,+49 971 8018 133,Gesundheitsamt@landkreis-badkissingen.de,,,,,,
164,1.09.6.73.,09771 94-560,09771 94-500,gesundheitsamt@rhoen-grabfeld.de,,,,,,
165,1.09.6.74.,09521 27-400,09521 27-406,Gesundheitsamt@landratsamt-hassberge.de,,,,,,
166,1.09.6.75.,09321 928 3304,09321 928 3399,gesundheitsamt@kitzingen.de,,,,,,
167,1.09.6.76.,09371 501-523,09371 501-524,Gesundheitsamt@lra-mil.de,,,,,,
168,1.09.6.77.,09353   793-1600,09353   793-7600,gesundheitsamt@lramsp.de,,,,,,
169,1.09.6.78.,09721 55-745,09721 55-737,ga-anmeldung@lrasw.de,,,,,,
170,1.09.6.79.,+49 931 8003-0,+49 931 8003-5940,Gesundheitsamt@lra-wue.bayern.de,,,,,,
171,1.09.7.61.,+49 821 324-2029,+49 821 324-2060,hygiene.gesundheitsamt@augsburg.de,,,,,,
172,1.09.7.64.,+49 8331 850-940,+49 8331 850-949,gesundheitsamt@memmingen.de,,,,,,
173,1.09.7.71.,+49 8251 92 431,+49 8251-8197101,gesundheitsamt@lra-aic-fdb.de,,,,,,
174,1.09.7.72.,0821 3102-2101,0821 3102 1101,Gesundheitsamt@lra-a.bayern.de,,,,,,
175,1.09.7.73.,09071 51-0,09071 51-4870,gesundheit@landratsamt.dillingen.de,,,,,,
176,1.09.7.74.,+49 8221 95-722,+49 8221 95-770,Gesundheitsamt@landkreis-guenzburg.de,,,+49 8221 95 6718,,,
177,1.09.7.75.,0731 7040-1280,0731 7040-5099,gesundheitsdienst@lra.neu-ulm.de,,,,,,
178,1.09.7.76.,08382 270-620,08382 270-633,Gesundheitsamt@landkreis-lindau.de,,,,,,
179,1.09.7.77.,08342 911-623,08342 911-650,Gesundheitsamt@lra-oal.bayern.de,,,,,,
180,1.09.7.78.,08261 995-407,08261 995 10 444,gesundheitsamt@lra.unterallgaeu.de,,,,,,
181,1.09.7.79.01.,0906 74-407,0906 74-415,Gesundheitswesen@lra-donau-ries.de,,,,,,
182,1.09.7.80.,08321 612-520,08321 612-521,Gesundheitsamt@lra-oa.bayern.de,,,,,,
183,1.10.0.41.,0681 506-5305,0681 506-5390,gesundheitsamtsbr@rvsbr.de,,,,,,
184,1.10.0.42.,06861 80420,06861 80-414,gesundheitsamt@merzig-wadern.de,,,,,,
185,1.10.0.43.,06824 906-8830,06824 906-8824,gesundheitsamt@landkreis-neunkirchen.de,,,,,,
186,1.10.0.44.,06831 444-700,06831-444-722,gesundheitsamt@kreis-saarlouis.de,,,,,,
187,1.10.0.45.,06841 104 7170,06841 104-7501,gesundheitsamt@saarpfalz-kreis.de,,,,,,
188,1.10.0.46.,06851 801-5300,06851 801-5390,gesundheitsamt@lkwnd.de,,,,,,
189,1.11.0.01.01.,+49 30 9018-33208,+49 30 9018 33254,hygiene-umwelt@ba-mitte.berlin.de,,,,,,
190,1.11.0.02.01.,+49 30 90298 8000,+49 30 90298 8365,hygiene@ba-fk.berlin.de,,,,,,
191,1.11.0.03.01.,030 9029-52869,030 90295-2901,,,corona@ba-pankow.berlin.de,,,,
192,1.11.0.04.01.,+49 30 9029 16047,+49 30 9029 16050,Hygiene@charlottenburg-wilmersdorf.de,+49 30 9029 16662,hygiene@charlottenburg-wilmersdorf.de,,,,
193,1.11.0.05.01.,+49 30 90279-4031,+49 30 90279-4085,Ges2@ba-spandau.berlin.de,,,,,,
194,1.11.0.06.01.,+49 30 90299 3624,+49 30 90299 3373,hygiene@ba-sz.berlin.de,+49 30 90299-3670,corona@ba-sz.berlin.de,,,,
195,1.11.0.07.01.,+49 30 90277-7351,+49 30 90277-7504,hygiene@ba-ts.berlin.de,,corona@ba-ts.berlin.de,,,,
196,1.11.0.08.01.,+49 30 90239-2254,+49 30 90239-3743,geshyg@bezirksamt-neukoelln.de,,,,,,
197,1.11.0.09.01.,030 90297-4773,030 90297-4774,geshum@ba-tk.berlin.de,,covid19@ba-tk.berlin.de,,,,
198,1.11.0.10.01.,+49 30 90293-3639,+ 49 30 90293-3628,Hygiene-MH@ba-mh.berlin.de,,,,,,
199,1.11.0.11.01.,+49 30 90 296-7552,+49 30 90 296-7553,hygiene@lichtenberg.berlin.de,,,,,,
200,1.11.0.12.01.,+49 30 90294-2253,+49 30 90294-5049,gesundheitsamt@reinickendorf.berlin.de,,,,,,
201,1.12.0.51.,03381 58-5301/-5300,03381 58-5304,Gesundheitsamt@Stadt-Brandenburg.de,,,,,,
202,1.12.0.52.,0355 612 3210,0355 612 133504,gesundheitsamt@cottbus.de,,,,,,
203,1.12.0.53.,,0335 5525382,infektionsschutz@frankfurt-oder.de,0335 5525301,,,,,
204,1.12.0.54.,0331/289-0,0331 289-2353,Gesundheitsamt@Rathaus.Potsdam.de,0331 289-2351,infektionsschutz@rathaus.potsdam.de,,,,
205,1.12.0.60.,03334 214-1601,03334 214-2601,gesundheitsamt@kvbarnim.de,,,,,,
206,1.12.0.61.,03375 26-2145,03375 26-2176,Gesundheitsamt@dahme-spreewald.de,,,,,reiserueckkehrer@dahme-spreewald.de,
207,1.12.0.62.,03535 463101,03535 46-3122,gesundheitsamt@lkee.de,,,,,,
208,1.12.0.63.,03385 551-7101,03385 551-7100,gesundheitsamt@havelland.de,,,,,,
209,1.12.0.64.,03346 850-6701,03346 850-6709,gesundheitsamt@landkreismol.de,03346 850-6790,,,,,
210,1.12.0.65.,03301 6013751,03301 601 3750,FB-Gesundheit@oberhavel.de,03301 601 3900,Ges.Corona@oberhavel.de,,,,
211,1.12.0.66.,+49 3573 87043-01,+49 3573 8704310,gesundheitsamt@osl-online.de,,,,,,
212,1.12.0.67.,03366 35-2201,03366 352298,hygiene@l-os.de,,,,,,
213,1.12.0.68.,03391 688-5300,03391 6885302,gesundheitsamt@opr.de,,,,,,
214,1.12.0.69.,0049 33841 91-297,0049 33841 91-377,gesundheitsamt@potsdam-mittelmark.de,,,,,,
215,1.12.0.70.,03876-713 500,03876 713 550,gsa@lkprignitz.de,03876-713313,,,,,
216,1.12.0.71.,03562 986-0/-15301,03562 986-15388,gesundheitsamt@lkspn.de,,,,,,
217,1.12.0.72.,03371 608-3800,03371 608-9050,gesundheitsamt@teltow-flaeming.de,,,,,,
218,1.12.0.73.,03984 70 1153,03984 70 3453,infektionsschutz@uckermark.de,,,,,,
219,1.13.0.03.,0381 381-5301,,ga.infektionsschutz@rostock.de,,,,,,0381 381 9552
220,1.13.0.04.,0385 545-2820,0385 545-2829,gesundheitsamt@schwerin.de,,,,,,
221,1.13.0.71.,+49 395 57087 3147,+49 395 57087 65952,gesundheitsamt@lk-seenplatte.de,,coronahotline@lk-seenplatte.de,,+49 395 57087 5330,,
222,1.13.0.72.,03843 755 53999,03843 755 53804,infektionsschutz@lkros.de,,,,,,
223,1.13.0.73.,0049 3831 357 2301,0049 3831 357 442383,FD33@lk-vr.de,,,,,,
224,1.13.0.74.,03841 3040-5301,03841 3040-5399,ga@nordwestmecklenburg.de,,,,,,03841 3040 85399
225,1.13.0.75.,03834 8760 2401,03834 8760 9033,gesundheitsamt@kreis-vg.de,,,,03834 8760 2300,,03834 8760 99037
226,1.13.0.76.,03871 722-5300,03871  722 77 5377,fd53@kreis-lup.de,,,,03871 722-5390,,
227,1.14.5.11.,0371 488-5301,0371 488-5399,gesundheitsamt@stadt-chemnitz.de,0371 488 5302,corona@stadt-chemnitz.de,,,,
228,1.14.5.21.02.,+49 3733 831-3008,+49 3771 277 3212,gsa.ifs@kreis-erz.de,,,,,,
229,1.14.5.22.01.,+49 3731 799-6249,+49 3731 799-6822,gesundheit@landkreis-mittelsachsen.de,,,,,reiserueckkehrer@landkreis-mittelsachsen.de,
230,1.14.5.23.02.,03741 300 3501,03741 300 - 4071,gesundheitsamt@vogtlandkreis.de,03741 300 3570,,,,,
231,1.14.5.24.01.,0375 4402-22401,0375 4402-22409,gesundheitsamt@landkreis-zwickau.de,,,,,,
232,1.14.6.12.,0351 4885301,0351 4 885303,gesundheitsamt@dresden.de,,gesundheitsamt-infektionsschutz@dresden.de,,,,
233,1.14.6.25.03.,03591 5251-53213,03591 5251-53299,gesundheitsamt@lra-bautzen.de,,,,,,
234,1.14.6.26.01.,03581 663 2601,03581 663 627 77,gesundheitsamt@kreis-gr.de,,,,,aussteigerkarten@kreis-gr.de,
235,1.14.6.27.01.,+49 3521  725 3455,+49 3521  725 88054,ga.infektionsschutz@kreis-meissen.de,,corona@kreis-meissen.de,,,,
236,1.14.6.28.01.,03501  515 2318,03501  515 2309,gesundheit.infektionsschutz@landratsamt-pirna.de,,,,,,
237,1.14.7.13.,0341 123-6809,0341 123 6805,hygiene@leipzig.de,,,,,,
238,1.14.7.29.01.,+49 3437 984-2400,+49 3437 984-2497,gesundheitsamt@lk-l.de,,,,,,
239,1.14.7.30.01.,03421 758-6301,03421  758 85 63 10,Infektionsmeldungen@lra-nordsachsen.de,,,,,,
240,1.15.0.01.,0340 204-2053,0340 – 204 2692590,gesundheitsamt@dessau-rosslau.de,,,,,,
